mu phi sigma rho nu
-0.3048 0.9487 0.2038 -0.2973 30
-0.3931 0.9644 0.1624 -0.3650 14
-0.4578 0.9627 0.1725 -0.1466 10
-0.4051 0.9705 0.1509 -0.2925 12
-0.3840 0.9554 0.1717 -0.4033 12
-0.5429 0.9526 0.2010 -0.3351 10
-0.3506 0.9524 0.1987 -0.1504 17
-0.3198 0.9593 0.1709 -0.3854 17
-0.3709 0.9670 0.1741 -0.1933 9
-0.3509 0.9545 0.1884 -0.4741 15
-0.4161 0.9539 0.1929 -0.3054 17
-0.4657 0.9707 0.1595 -0.3675 10
-0.4541 0.9685 0.1428 -0.0852 11
-0.3958 0.9660 0.1698 -0.4966 24
-0.4398 0.9625 0.1634 -0.3431 9
-0.4417 0.9741 0.1172 -0.3846 8
-0.3710 0.9694 0.1462 -0.3066 14
-0.4306 0.9702 0.1553 -0.2358 15
-0.3435 0.9663 0.1789 -0.2557 12
-0.2189 0.9684 0.1634 -0.3773 29
-0.3349 0.9626 0.1607 -0.2324 12
-0.3746 0.9610 0.1814 -0.4136 14
-0.4327 0.9372 0.2202 -0.3686 12
-0.3624 0.9435 0.2260 -0.3663 22
-0.4201 0.9665 0.1423 -0.3381 10
-0.4525 0.9652 0.1598 -0.1624 10
-0.3078 0.9550 0.1989 -0.1894 19
-0.3711 0.9728 0.1423 -0.1911 12
-0.3491 0.9638 0.1645 -0.3070 13
-0.3676 0.9564 0.1676 -0.3076 14
-0.3479 0.9535 0.1990 -0.2576 15
-0.4196 0.9649 0.1565 -0.3830 13
-0.3987 0.9625 0.1520 -0.2808 9
-0.4084 0.9679 0.1441 -0.2249 12
-0.3371 0.9668 0.1556 -0.0884 17
-0.5138 0.9597 0.1932 -0.1275 10
-0.3363 0.9639 0.1810 -0.3714 28
-0.4343 0.9710 0.1562 -0.3841 11
-0.3142 0.9720 0.1412 -0.4000 12
-0.3725 0.9105 0.2548 -0.3257 15
-0.4341 0.9627 0.1684 -0.3832 8
-0.2810 0.9774 0.1291 -0.3719 22
-0.4967 0.9459 0.2034 -0.2271 10
-0.4576 0.9555 0.2063 -0.3236 14
-0.4095 0.9655 0.1582 -0.1916 10
-0.3708 0.9617 0.1895 -0.2881 15
-0.5460 0.9621 0.1699 -0.3328 7
-0.3910 0.9729 0.1486 -0.3473 11
-0.4121 0.9597 0.1826 -0.1977 15
-0.4195 0.9621 0.1569 -0.2959 11
-0.3663 0.9708 0.1583 -0.3914 10
-0.3977 0.9548 0.1796 -0.3391 14
-0.3275 0.9644 0.1496 -0.2093 15
-0.4471 0.9641 0.1612 -0.4353 11
-0.5190 0.9580 0.1828 -0.2518 8
-0.3904 0.9562 0.1849 -0.3561 12
-0.3184 0.9591 0.1623 -0.3289 17
-0.3526 0.9574 0.1887 -0.2546 21
-0.3626 0.9698 0.1326 -0.2979 13
-0.3794 0.9621 0.1794 -0.3773 12
-0.2828 0.9453 0.2201 -0.2174 40
-0.4710 0.9552 0.1777 -0.3085 12
-0.4027 0.9651 0.1584 -0.4438 12
-0.4013 0.9462 0.1995 -0.3747 14
-0.2923 0.9556 0.1726 -0.3571 24
-0.3798 0.9552 0.1671 -0.3770 15
-0.3337 0.9483 0.2120 -0.3924 24
-0.3411 0.9690 0.1675 -0.2234 10
-0.4210 0.9679 0.1592 -0.2934 12
-0.3780 0.9756 0.1277 -0.2634 15
-0.3853 0.9392 0.1936 -0.3632 14
-0.3440 0.9463 0.2054 -0.3476 18
-0.3608 0.9695 0.1525 -0.3582 14
-0.3431 0.9743 0.1459 -0.4229 16
-0.3766 0.9647 0.1800 -0.4935 18
-0.4590 0.9640 0.1424 -0.4112 10
-0.4311 0.9582 0.1631 -0.2257 12
-0.3882 0.9697 0.1506 -0.4621 10
-0.4306 0.9611 0.1743 -0.4031 10
-0.3677 0.9692 0.1555 -0.1989 13
-0.4241 0.9382 0.2147 -0.1329 10
-0.3316 0.9578 0.1865 -0.3741 25
-0.2852 0.9557 0.2051 -0.3536 17
-0.3181 0.9494 0.1877 -0.4143 20
-0.4091 0.9630 0.1671 -0.3478 8
-0.4365 0.9545 0.1769 -0.0687 11
-0.4001 0.9674 0.1321 -0.1721 9
-0.3554 0.9603 0.1567 -0.3430 12
-0.3450 0.9414 0.2028 -0.3417 16
-0.4168 0.9701 0.1465 -0.2276 11
-0.4414 0.9698 0.1520 -0.3464 9
-0.3287 0.9682 0.1696 -0.2343 13
-0.4173 0.9558 0.1935 -0.2357 13
-0.4996 0.9676 0.1475 -0.4811 8
-0.3385 0.9811 0.1314 -0.4197 15
-0.4490 0.9555 0.1814 -0.3212 9
-0.4160 0.9521 0.2103 -0.2566 13
-0.3649 0.9733 0.1294 -0.3563 13
-0.3697 0.9640 0.1711 -0.3321 25
-0.3071 0.9800 0.1444 -0.4051 11
