mu phi sigma rho nu
-0.4320 0.9716 0.1446 -0.1208 10
-0.4234 0.9662 0.1491 -0.1496 8
-0.4222 0.9656 0.1460 -0.1415 10
-0.4263 0.9662 0.1523 -0.1013 10
-0.4516 0.9640 0.1501 -0.0404 10
-0.4510 0.9641 0.1508 -0.0379 8
-0.4345 0.9644 0.1517 -0.0719 11
-0.4429 0.9638 0.1518 -0.0809 9
-0.4247 0.9635 0.1482 -0.1052 15
-0.4209 0.9641 0.1504 -0.1127 10
-0.4146 0.9638 0.1545 -0.1259 11
-0.4167 0.9624 0.1545 -0.1191 10
-0.4438 0.9638 0.1539 -0.1276 14
-0.4366 0.9639 0.1486 -0.1200 9
-0.4317 0.9702 0.1470 -0.1234 9
-0.4437 0.9649 0.1481 -0.1012 14
-0.4237 0.9695 0.1481 -0.1470 10
-0.4289 0.9673 0.1431 -0.1339 10
-0.4346 0.9707 0.1465 -0.1470 11
-0.4225 0.9692 0.1421 -0.1733 8
-0.4370 0.9662 0.1467 -0.1975 11
-0.4464 0.9634 0.1469 -0.1667 10
