mu phi sigma nu
-0.3154 0.9705 0.1390 12
-0.3326 0.9845 0.1395 14
-0.5629 0.9723 0.1368 16
-0.4880 0.9732 0.1362 10
-0.2606 0.9663 0.1375 12
-0.3034 0.9727 0.1365 13
-0.3067 0.9692 0.1385 14
-0.3794 0.9691 0.1368 12
-0.2747 0.9757 0.1372 12
-0.3700 0.9788 0.1333 13
-0.5631 0.9778 0.1348 15
-0.2444 0.9732 0.1355 17
-0.3915 0.9775 0.1374 13
-0.3733 0.9740 0.1390 16
-0.2220 0.9740 0.1388 13
-0.4177 0.9800 0.1368 11
-0.2942 0.9817 0.1359 12
-0.4999 0.9792 0.1352 15
-0.2483 0.9768 0.1358 13
-0.5962 0.9671 0.1343 14
-0.4146 0.9726 0.1362 12
-0.5282 0.9712 0.1388 19
-0.4013 0.9804 0.1387 12
-0.4662 0.9793 0.1383 12
-0.2954 0.9832 0.1370 16
0.0896 0.9817 0.1364 11
-0.4835 0.9751 0.1378 16
-0.3326 0.9711 0.1394 16
-0.3863 0.9766 0.1365 17
-0.5168 0.9797 0.1373 13
-0.5513 0.9776 0.1395 20
-0.2588 0.9760 0.1418 11
-0.2795 0.9812 0.1397 20
-0.1554 0.9754 0.1370 13
-0.3512 0.9733 0.1372 21
-0.1563 0.9747 0.1364 18
-0.2625 0.9777 0.1360 23
-0.1305 0.9821 0.1480 13
-0.2525 0.9723 0.1457 17
-0.3721 0.9741 0.1466 13
-0.4454 0.9769 0.1463 13
-0.3321 0.9640 0.1437 12
-0.3630 0.9636 0.1444 16
-0.2380 0.9785 0.1417 17
-0.2835 0.9735 0.1429 11
-0.4264 0.9716 0.1397 18
-0.3999 0.9738 0.1411 21
-0.3914 0.9680 0.1393 16
-0.4100 0.9685 0.1430 13
-0.3008 0.9696 0.1405 13
-0.3391 0.9827 0.1405 13
-0.4292 0.9739 0.1407 17
-0.4071 0.9807 0.1362 13
-0.4195 0.9802 0.1394 16
-0.0612 0.9823 0.1364 19
-0.3437 0.9711 0.1333 15
-0.2007 0.9817 0.1371 10
-0.3101 0.9752 0.1327 12
-0.2740 0.9747 0.1359 11
-0.4026 0.9819 0.1352 10
-0.4059 0.9797 0.1362 16
-0.3287 0.9826 0.1345 11
-0.5767 0.9839 0.1354 14
-0.4474 0.9769 0.1320 11
-0.4462 0.9816 0.1345 12
-0.2652 0.9780 0.1368 18
-0.2760 0.9766 0.1315 11
-0.4336 0.9816 0.1274 12
-0.4149 0.9729 0.1275 11
-0.4935 0.9762 0.1254 13
-0.0038 0.9911 0.1243 14
-0.2475 0.9684 0.1256 15
-0.4825 0.9817 0.1253 14
-0.3126 0.9821 0.1273 14
-0.3736 0.9771 0.1260 13
-0.1293 0.9809 0.1263 14
-0.4565 0.9790 0.1214 13
-0.1268 0.9761 0.1235 12
-0.3705 0.9780 0.1235 17
-0.4586 0.9717 0.1243 17
-0.3231 0.9834 0.1270 13
-0.3711 0.9756 0.1268 17
-0.1843 0.9783 0.1255 11
-0.5994 0.9791 0.1259 20
-0.3673 0.9789 0.1239 14
-0.3043 0.9854 0.1276 15
-0.1153 0.9860 0.1283 14
-0.2947 0.9805 0.1285 12
-0.1538 0.9775 0.1246 17
-0.2472 0.9816 0.1264 12
-0.6705 0.9816 0.1262 13
-0.3133 0.9755 0.1275 11
-0.2402 0.9749 0.1325 14
-0.1792 0.9753 0.1296 13
-0.3306 0.9850 0.1287 13
-0.5291 0.9784 0.1304 12
-0.5175 0.9717 0.1281 12
-0.4748 0.9717 0.1334 12
-0.4268 0.9771 0.1337 14
-0.4711 0.9784 0.1285 16
-0.4218 0.9698 0.1238 14
-0.3477 0.9787 0.1229 13
-0.2773 0.9819 0.1221 19
